"Elements Object type
 display name",,,Journal article,,Artefact,,Book,,Chapter,,Composition,,Conference,,Dataset,,Design,,Exhibition,,Figure,,Fileset,,Internet publication,,Media,,Other,,Patent,,Performance,,Presentation,,Poster,,Report,,Scholarly edition,,Software / Code,,Thesis / Dissertation,,Preprint,,,,,,,,,,,,,,,,,,,
patent-number,text,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Patent number [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
associated-authors,person-list,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Associated authors [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
filed-date,date,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Filed date [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Date submitted,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
patent-status,text,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Patent status [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
commissioning-body,text,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Commissioning body,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
confidential,boolean,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Confidential,,[not used],,[not used],,[not used],,[not used],,Confidential report,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
number-of-pieces,text,,[not used],,[not used],,Number of chapters,,Number of chapters in book,,[not used],,[not used],,[not used],,[not used],,Number of pieces [M],,[not used],,Number of files,,[not used],,[not used],,Number of pieces,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
version,text,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Version,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Version [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
addresses,address-list,,Addresses,,Addresses,,Addresses,,Addresses,,Addresses,,Addresses,,[not used],,Addresses,,Addresses,,[not used],,[not used],,Addresses,,[not used],,Addresses,,Addresses,,Addresses,,[not used],,Addresses,,Addresses,,Addresses,,Addresses,,Addresses,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
funding-acknowledgements,funding-acknowledgements,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
references,list,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
types,list,,Sub types [M],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
thesis-type,choice,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Thesis type [M] [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
eissn,issn,,eISSN,,[not used],,[not used],,[not used],,[not used],,eISSN,,[not used],,[not used],,[not used],,[not used],,[not used],,eISSN,,[not used],,eISSN,,[not used],,[not used],,[not used],,[not used],,eISSN,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""external-identifiers""",identifier-list,,External identifiers,Additional Details,[not used],,[not used],,[not used],,[not used],,External identifiers,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
is-open-access,boolean,,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,Open access [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
acceptance-date,date,,Date of acceptance,,[not used],,[not used],,[not used],,[not used],,Date of acceptance,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
publisher-licence,choice,,Publisher licence,,[not used],,[not used],,[not used],,[not used],,Publisher licence,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
repository-status,choice,,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,Availability [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
author-licence,choice,,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,Author's licence [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
confidential-files-reason,text,,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,File(s) confidentiality reason [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
is-embargoed,boolean,,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,File(s) embargoed [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
are-files-confidential,boolean,,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,File(s) confidential [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
embargo-release-date,date,,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,File(s) embargo release date [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
record-made-public-at-source-date,date,,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,Record made publicly available [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
record-created-at-source-date,date,,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,Record created at source [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
online-publication-date,date,,Online publication date [S],,[not used],,Online publication date [S],,Online publication date [S],,[not used],,Online publication date [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
collections,list,,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,Collections [L],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
